producto,mercado_faltante,existe_en,url_referencia
Waqrapukara,pt-BR,"en, es",https://www.perugrandtravel.com/tour/tour-waqrapukara-cusco/
Cañón del Cóndor,es,en,https://www.perugrandtravel.com/tour/condor-canyon-cusco-full-day/
Cañón del Cóndor,pt-BR,en,https://www.perugrandtravel.com/tour/condor-canyon-cusco-full-day/
Domo Laguna Piuray,es,en,https://www.perugrandtravel.com/tour/dome-piuray-lagoon/
Domo Laguna Piuray,pt-BR,en,https://www.perugrandtravel.com/tour/dome-piuray-lagoon/
Rafting y Tirolesa,es,"en, pt-BR",https://www.perugrandtravel.com/tour/cusco-rafting-and-zipline/
Valle Sagrado VIP / Super,pt-BR,"en, es",https://www.perugrandtravel.com/tour/super-sacred-valley-tour/
Salkantay Combinada 7D,en,"es, pt-BR",https://www.viajesmachupicchutours.com/tour/camino-inca-salkantay-machu-picchu-7-dias/
Humantay + Salkantay Pass 2D,es,"en, pt-BR",https://www.perugrandtravel.com/tour/trek-humantay-salkantay-2d/
Machu Picchu 2D,pt-BR,"en, es",https://www.perugrandtravel.com/tour/incredible-machu-picchu-2d/
Machu Picchu Extreme Challenge,pt-BR,"en, es",https://www.perugrandtravel.com/tour/machu-picchu-extreme-challenge/
Maravillas del Perú 13D,pt-BR,"en, es",https://www.perugrandtravel.com/tour/wonder-of-peru-coast-andes-and-rainforest-13d/
Lima Colonial + Matrimonio Andino 8D,en,pt-BR,https://www.machupicchupacotes.com/pacote/lima-colonial-terra-sagrada-dos-incas-casamento-andino-8-dias/
Lima Colonial + Matrimonio Andino 8D,es,pt-BR,https://www.machupicchupacotes.com/pacote/lima-colonial-terra-sagrada-dos-incas-casamento-andino-8-dias/
Islas Ballestas + Huacachina,pt-BR,"en, es",https://www.perugrandtravel.com/tour/ballestas-huacachina-islands-full-day/
Amazonía 4D (Tambopata),pt-BR,"en, es",https://www.perugrandtravel.com/tour/amazon-rainforest-4d/
Amazonía Express 3D,pt-BR,"en, es",https://www.perugrandtravel.com/tour/amazon-rainforest-express-3d/
Perú Amazonía 9D,pt-BR,"en, es",https://www.perugrandtravel.com/tour/peru-amazon-rainforest-9d/
Cusco + Selva Amazónica,en,es,https://www.viajesmachupicchutours.com/tour/explora-cusco-selva-amazonica/
Cusco + Selva Amazónica,pt-BR,es,https://www.viajesmachupicchutours.com/tour/explora-cusco-selva-amazonica/
Camino Inca Corto + Amazonía 8D,es,en,https://www.perugrandtravel.com/tour/short-inca-trail-with-amazon-rainforest-8d/
Camino Inca Corto + Amazonía 8D,pt-BR,en,https://www.perugrandtravel.com/tour/short-inca-trail-with-amazon-rainforest-8d/
Año Nuevo / Réveillon Machu Picchu,en,pt-BR,https://www.machupicchupacotes.com/pacote/reveillon-machu-picchu/
Año Nuevo / Réveillon Machu Picchu,es,pt-BR,https://www.machupicchupacotes.com/pacote/reveillon-machu-picchu/
Grand Deluxe Belmond 5D,es,en,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-belmond-5-days/
Grand Deluxe Belmond 5D,pt-BR,en,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-belmond-5-days/
Grand Deluxe Casa Andina 5D,es,en,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days/
Grand Deluxe Casa Andina 5D,pt-BR,en,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days/
Grand Deluxe Inkaterra 5D,es,en,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days/
Grand Deluxe Inkaterra 5D,pt-BR,en,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days/
Grand Deluxe Luxury Collection 5D,es,en,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-luxury-collection-hotels-5-days/
Grand Deluxe Luxury Collection 5D,pt-BR,en,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-luxury-collection-hotels-5-days/
Grand Deluxe Belmond Andean Explorer 10D,es,en,https://www.perugrandtravel.com/tour/peru-grand-deluxe-by-belmond-andean-explorer-10-days/
Grand Deluxe Belmond Andean Explorer 10D,pt-BR,en,https://www.perugrandtravel.com/tour/peru-grand-deluxe-by-belmond-andean-explorer-10-days/
Grand Deluxe Lima-Cusco-MP 7D,es,en,https://www.perugrandtravel.com/tour/peru-grand-deluxe-lima-cusco-machu-picchu-7days/
Grand Deluxe Lima-Cusco-MP 7D,pt-BR,en,https://www.perugrandtravel.com/tour/peru-grand-deluxe-lima-cusco-machu-picchu-7days/
